date,amxdvs_2
1992-02-29,215154.0
1992-03-31,227061.0
1992-04-30,229698.0
1992-05-31,233699.0
1992-06-30,233704.0
1992-07-31,232728.0
1992-08-31,229766.0
1992-09-30,232363.0
1992-10-31,231138.0
1992-11-30,232028.0
1992-12-31,235795.0
1993-01-31,233902.0
1993-02-28,239742.0
1993-03-31,237461.0
1993-04-30,237524.0
1993-05-31,238314.0
1993-06-30,243575.0
1993-07-31,236979.0
1993-08-31,238634.0
1993-09-30,239277.0
1993-10-31,244296.0
1993-11-30,241705.0
1993-12-31,244086.0
1994-01-31,248786.0
1994-02-28,250753.0
1994-03-31,252010.0
1994-04-30,254080.0
1994-05-31,256105.0
1994-06-30,260253.0
1994-07-31,260822.0
1994-08-31,263168.0
1994-09-30,264025.0
1994-10-31,266653.0
1994-11-30,269762.0
1994-12-31,275054.0
1995-01-31,275112.0
1995-02-28,277597.0
1995-03-31,275114.0
1995-04-30,277486.0
1995-05-31,276469.0
1995-06-30,275411.0
1995-07-31,275140.0
1995-08-31,278669.0
1995-09-30,286707.0
1995-10-31,281576.0
1995-11-30,282276.0
1995-12-31,291402.0
1996-01-31,278998.0
1996-02-29,272261.0
1996-03-31,286016.0
1996-04-30,283965.0
1996-05-31,290627.0
1996-06-30,291870.0
1996-07-31,293210.0
1996-08-31,287781.0
1996-09-30,295604.0
1996-10-31,294627.0
1996-11-30,295477.0
1996-12-31,289786.0
1997-01-31,296056.0
1997-02-28,304079.0
1997-03-31,301980.0
1997-04-30,306691.0
1997-05-31,302868.0
1997-06-30,308286.0
1997-07-31,312064.0
1997-08-31,312400.0
1997-09-30,312935.0
1997-10-31,314039.0
1997-11-30,328567.0
1997-12-31,310404.0
1998-01-31,310018.0
1998-02-28,316538.0
1998-03-31,312236.0
1998-04-30,312740.0
1998-05-31,315415.0
1998-06-30,305798.0
1998-07-31,302966.0
1998-08-31,312285.0
1998-09-30,311641.0
1998-10-31,310246.0
1998-11-30,312808.0
1998-12-31,308739.0
1999-01-31,316706.0
1999-02-28,317868.0
1999-03-31,314869.0
1999-04-30,315647.0
1999-05-31,318747.0
1999-06-30,318245.0
1999-07-31,323036.0
1999-08-31,327174.0
1999-09-30,328751.0
1999-10-31,333065.0
1999-11-30,329780.0
1999-12-31,336959.0
2000-01-31,341417.0
2000-02-29,326600.0
2000-03-31,338996.0
2000-04-30,342774.0
2000-05-31,334678.0
2000-06-30,347666.0
2000-07-31,337612.0
2000-08-31,334239.0
2000-09-30,348909.0
2000-10-31,333754.0
2000-11-30,335922.0
2000-12-31,340499.0
2001-01-31,326613.0
2001-02-28,329159.0
2001-03-31,324296.0
2001-04-30,315233.0
2001-05-31,322281.0
2001-06-30,317837.0
2001-07-31,311462.0
2001-08-31,315947.0
2001-09-30,303123.0
2001-10-31,299478.0
2001-11-30,303587.0
2001-12-31,304576.0
2002-01-31,302706.0
2002-02-28,307413.0
2002-03-31,305162.0
2002-04-30,311737.0
2002-05-31,315503.0
2002-06-30,309128.0
2002-07-31,310741.0
2002-08-31,318793.0
2002-09-30,311141.0
2002-10-31,315095.0
2002-11-30,315615.0
2002-12-31,309056.0
2003-01-31,315861.0
2003-02-28,320346.0
2003-03-31,321133.0
2003-04-30,310550.0
2003-05-31,314377.0
2003-06-30,320241.0
2003-07-31,320794.0
2003-08-31,319536.0
2003-09-30,327178.0
2003-10-31,331126.0
2003-11-30,330447.0
2003-12-31,329585.0
2004-01-31,328711.0
2004-02-29,331169.0
2004-03-31,344937.0
2004-04-30,339022.0
2004-05-31,343217.0
2004-06-30,344489.0
2004-07-31,347168.0
2004-08-31,348439.0
2004-09-30,351265.0
2004-10-31,354786.0
2004-11-30,364416.0
2004-12-31,365936.0
2005-01-31,371019.0
2005-02-28,374107.0
2005-03-31,368191.0
2005-04-30,377156.0
2005-05-31,387028.0
2005-06-30,390421.0
2005-07-31,378985.0
2005-08-31,393973.0
2005-09-30,396014.0
2005-10-31,400194.0
2005-11-30,413949.0
2005-12-31,412832.0
2006-01-31,410303.0
2006-02-28,408470.0
2006-03-31,420274.0
2006-04-30,409466.0
2006-05-31,415207.0
2006-06-30,414931.0
2006-07-31,408062.0
2006-08-31,408434.0
2006-09-30,420928.0
2006-10-31,407085.0
2006-11-30,412559.0
2006-12-31,426485.0
2007-01-31,415122.0
2007-02-28,420863.0
2007-03-31,435104.0
2007-04-30,437013.0
2007-05-31,435470.0
2007-06-30,438735.0
2007-07-31,439270.0
2007-08-31,436325.0
2007-09-30,439317.0
2007-10-31,445734.0
2007-11-30,457624.0
2007-12-31,466784.0
2008-01-31,465860.0
2008-02-29,460018.0
2008-03-31,460328.0
2008-04-30,465663.0
2008-05-31,464515.0
2008-06-30,471419.0
2008-07-31,465921.0
2008-08-31,451636.0
2008-09-30,434222.0
2008-10-31,407613.0
2008-11-30,376478.0
2008-12-31,346485.0
2009-01-31,336915.0
2009-02-28,333482.0
2009-03-31,322395.0
2009-04-30,320515.0
2009-05-31,327068.0
2009-06-30,335412.0
2009-07-31,337926.0
2009-08-31,345523.0
2009-09-30,348570.0
2009-10-31,355413.0
2009-11-30,360399.0
2009-12-31,361291.0
2010-01-31,376585.0
2010-02-28,379660.0
2010-03-31,385767.0
2010-04-30,387583.0
2010-05-31,390474.0
2010-06-30,389237.0
2010-07-31,388792.0
2010-08-31,395622.0
2010-09-30,406820.0
2010-10-31,406582.0
2010-11-30,411409.0
2010-12-31,416288.0
2011-01-31,429495.0
2011-02-28,425675.0
2011-03-31,448079.0
2011-04-30,438878.0
2011-05-31,443073.0
2011-06-30,441771.0
2011-07-31,447181.0
2011-08-31,454037.0
2011-09-30,445217.0
2011-10-31,451756.0
2011-11-30,459616.0
2011-12-31,468749.0
2012-01-31,470389.0
2012-02-29,474436.0
2012-03-31,467315.0
2012-04-30,463905.0
2012-05-31,462098.0
2012-06-30,447676.0
2012-07-31,458635.0
2012-08-31,445837.0
2012-09-30,463196.0
2012-10-31,467421.0
2012-11-30,464735.0
2012-12-31,466154.0
2013-01-31,476176.0
2013-02-28,489533.0
2013-03-31,467988.0
2013-04-30,471642.0
2013-05-31,483489.0
2013-06-30,488152.0
2013-07-31,469642.0
2013-08-31,473214.0
2013-09-30,483737.0
2013-10-31,481306.0
2013-11-30,494379.0
2013-12-31,490473.0
2014-01-31,477946.0
2014-02-28,484603.0
2014-03-31,485346.0
2014-04-30,482192.0
2014-05-31,483398.0
2014-06-30,485277.0
2014-07-31,548922.0
2014-08-31,484507.0
2014-09-30,483732.0
2014-10-31,472371.0
2014-11-30,466438.0
2014-12-31,455140.0
2015-01-31,447514.0
2015-02-28,444402.0
2015-03-31,451827.0
2015-04-30,450456.0
2015-05-31,440630.0
2015-06-30,452397.0
2015-07-31,446730.0
2015-08-31,440755.0
2015-09-30,435369.0
2015-10-31,438435.0
2015-11-30,429729.0
2015-12-31,425890.0
2016-01-31,430857.0
2016-02-29,422196.0
2016-03-31,420404.0
2016-04-30,434479.0
2016-05-31,432513.0
2016-06-30,421241.0
2016-07-31,425247.0
2016-08-31,426139.0
2016-09-30,426804.0
2016-10-31,442976.0
2016-11-30,422134.0
2016-12-31,432878.0
2017-01-31,437049.0
2017-02-28,441144.0
2017-03-31,440730.0
2017-04-30,441614.0
2017-05-31,440050.0
2017-06-30,453918.0
2017-07-31,433248.0
2017-08-31,441659.0
2017-09-30,449448.0
2017-10-31,452654.0
2017-11-30,461983.0
2017-12-31,467418.0
2018-01-31,459587.0
2018-02-28,468109.0
2018-03-31,474517.0
2018-04-30,474033.0
2018-05-31,476141.0
2018-06-30,474060.0
2018-07-31,470721.0
2018-08-31,478110.0
2018-09-30,476386.0
2018-10-31,474870.0
2018-11-30,463479.0
2018-12-31,466108.0
2019-01-31,462921.0
2019-02-28,460586.0
2019-03-31,464917.0
2019-04-30,460664.0
2019-05-31,451626.0
2019-06-30,448393.0
2019-07-31,453879.0
2019-08-31,450362.0
2019-09-30,442344.0
2019-10-31,440166.0
2019-11-30,438851.0
2019-12-31,430840.0
2020-01-31,444550.0
2020-02-29,442595.0
2020-03-31,394974.0
2020-04-30,341946.0
2020-05-31,360211.0
2020-06-30,388254.0
2020-07-31,414412.0
2020-08-31,420472.0
2020-09-30,427821.0
2020-10-31,433450.0
2020-11-30,439232.0
2020-12-31,449706.0
2021-01-31,466919.0
2021-02-28,471496.0
2021-03-31,475688.0
2021-04-30,482499.0
2021-05-31,489532.0
2021-06-30,496777.0
2021-07-31,503215.0
2021-08-31,513910.0
2021-09-30,506641.0
2021-10-31,521574.0
2021-11-30,531924.0
2021-12-31,535202.0
2022-01-31,548655.0
2022-02-28,547584.0
2022-03-31,559979.0
2022-04-30,564789.0
2022-05-31,569434.0
2022-06-30,571478.0
2022-07-31,569511.0
2022-08-31,565058.0
2022-09-30,563576.0
2022-10-31,575766.0
2022-11-30,561916.0
2022-12-31,558628.0
2023-01-31,568511.0
2023-02-28,559205.0
2023-03-31,559437.0
2023-04-30,559191.0
2023-05-31,561012.0
2023-06-30,569646.0
2023-07-31,564593.0
2023-08-31,569237.0
2023-09-30,579820.0
2023-10-31,558668.0
2023-11-30,581701.0
2023-12-31,571526.0
2024-01-31,555482.0
2024-02-29,564642.0
2024-03-31,569733.0
2024-04-30,569903.0
2024-05-31,566573.0
2024-06-30,546707.0
2024-07-31,573701.0
2024-08-31,567955.0
2024-09-30,565198.0
2024-10-31,568201.0
2024-11-30,565854.0
2024-12-31,560668.0
